Ref,Val,Package,PosX,PosY,Rot,Side
"C30","100n","C_0402_1005Metric",156.000000,-96.270000,-90.000000,bottom
"C31","100n","C_0402_1005Metric",156.000000,-94.030000,90.000000,bottom
"C32","10u","C_0402_1005Metric",157.200000,-93.950000,90.000000,bottom
"D1","BEP0080MA","D_SOD-123",150.000000,-83.600000,180.000000,bottom
"D2","BEP0080MA","D_SOD-123",150.200000,-70.800000,180.000000,bottom
"D9","ESDONCAN1LT1G","SOT-23",153.200000,-87.000000,-90.000000,bottom
"J1","62684-501100ALF","display_conn_62684-501100ALF_AMP",162.300000,-71.899996,-90.000000,bottom
"J2","Conn_02x03_Counter_Clockwise","Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical",140.500000,-80.650000,90.000000,bottom
"R31","100K","R_0402_1005Metric",153.000000,-101.640000,-90.000000,bottom
"R32","100K","R_0402_1005Metric",154.200000,-101.640000,90.000000,bottom
"R37","10R","R_0402_1005Metric",152.800000,-91.550000,90.000000,bottom
"R38","220R","R_0402_1005Metric",153.200000,-89.750000,180.000000,bottom
"R39","10R","R_0402_1005Metric",154.600000,-91.550000,90.000000,bottom
"U4","TBU-CA065-200-WH","TBU-CA065-200-WH",153.025000,-79.600000,180.000000,bottom
"U6","TBU-CA065-200-WH","TBU-CA065-200-WH",153.025000,-74.600000,180.000000,bottom
"U19","SSP3485U","MSOP-8_3x3mm_P0.65mm",153.600000,-96.800000,90.000000,bottom
