Reference(s),Value,Footprint,MPN,Qty,Vendor
"C30, C31",100n,Capacitor_SMD:C_0402_1005Metric,CL05A104KA5NNNC,2,LCSC
C32,10u,Capacitor_SMD:C_0402_1005Metric,CL05A106MP5NUNC,1,LCSC
"D1, D2",BEP0080MA,Diode_SMD:D_SOD-123,BEP0080MA,2,LCSC
D9,ESDONCAN1LT1G,Package_TO_SOT_SMD:SOT-23,ESDONCAN1LT1G,1,LCSC
J1,62684-501100ALF,MACHADA_footprints:display_conn_62684-501100ALF_AMP,62684-501100ALF,1,LCSC
J2,Conn_02x03_Counter_Clockwise,Connector_Molex:Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,HC-5557-2*4AW,1,LCSC
J3,Conn_01x04,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal,ZX-PZ2.54-2-4PWZ,1,LCSC
R1,10K,Resistor_SMD:R_0402_1005Metric,RC0402FR-0710KL,1,LCSC
"R31, R32",100K,Resistor_SMD:R_0402_1005Metric,RC0402FR-07100KL,2,LCSC
"R37, R39",10R,Resistor_SMD:R_0402_1005Metric,0402WGJ0100TCE,2,LCSC
R38,220R,Resistor_SMD:R_0402_1005Metric,0402WGF2200TCE,1,LCSC
"U4, U6",TBU-CA065-200-WH,MACHADA_footprints:TBU-CA065-200-WH,TBU-CA065-200-WH,2,LCSC
U19,SSP3485U,Package_SO:MSOP-8_3x3mm_P0.65mm,SSP3485U,1,LCSC
